SEASON,WEEK NUMBER,CURRENT WEEK DEATHS,PREVIOUS WEEKS DEATHS 
2014-15,2014-40,0,1
2014-15,2014-41,0,0
2014-15,2014-42,0,0
2014-15,2014-43,0,1
2014-15,2014-44,0,0
2014-15,2014-45,0,0
2014-15,2014-46,0,3
2014-15,2014-47,0,1
2014-15,2014-48,0,2
2014-15,2014-49,0,4
2014-15,2014-50,0,7
2014-15,2014-51,0,17
2014-15,2014-52,0,13
2014-15,2014-53,0,13
2014-15,2015-01,0,12
2014-15,2015-02,0,5
2014-15,2015-03,0,10
2014-15,2015-04,0,10
2014-15,2015-05,0,8
2014-15,2015-06,0,4
2014-15,2015-07,0,2
2014-15,2015-08,0,9
2014-15,2015-09,0,5
2014-15,2015-10,0,4
2014-15,2015-11,0,5
2014-15,2015-12,0,1
2014-15,2015-13,0,0
2014-15,2015-14,0,1
2014-15,2015-15,0,2
2014-15,2015-16,0,1
2014-15,2015-17,0,2
2014-15,2015-18,0,0
2014-15,2015-19,0,2
2014-15,2015-20,0,0
2014-15,2015-21,0,1
2014-15,2015-22,0,0
2014-15,2015-23,0,1
2014-15,2015-24,0,0
2014-15,2015-25,0,0
2014-15,2015-26,0,0
2014-15,2015-27,0,0
2014-15,2015-28,0,0
2014-15,2015-29,0,0
2014-15,2015-30,0,0
2014-15,2015-31,0,0
2014-15,2015-32,0,1
2014-15,2015-33,0,0
2014-15,2015-34,0,0
2014-15,2015-35,0,0
2014-15,2015-36,0,0
2014-15,2015-37,0,0
2014-15,2015-38,0,0
2014-15,2015-39,0,0
2015-16,2015-40,0,0
2015-16,2015-41,0,0
2015-16,2015-42,0,0
2015-16,2015-43,0,0
2015-16,2015-44,0,2
2015-16,2015-45,0,0
2015-16,2015-46,0,0
2015-16,2015-47,0,0
2015-16,2015-48,0,2
2015-16,2015-49,0,1
2015-16,2015-50,0,1
2015-16,2015-51,0,1
2015-16,2015-52,0,1
2015-16,2016-01,0,0
2015-16,2016-02,0,2
2015-16,2016-03,0,0
2015-16,2016-04,0,3
2015-16,2016-05,0,1
2015-16,2016-06,0,2
2015-16,2016-07,0,5
2015-16,2016-08,0,7
2015-16,2016-09,0,6
2015-16,2016-10,0,4
2015-16,2016-11,0,9
2015-16,2016-12,0,8
2015-16,2016-13,0,11
2015-16,2016-14,0,9
2015-16,2016-15,0,4
2015-16,2016-16,0,1
2015-16,2016-17,0,2
2015-16,2016-18,0,1
2015-16,2016-19,0,3
2015-16,2016-20,0,0
2015-16,2016-21,0,2
2015-16,2016-22,0,1
2015-16,2016-23,0,1
2015-16,2016-24,0,0
2015-16,2016-25,0,1
2015-16,2016-26,0,0
2015-16,2016-27,0,1
2015-16,2016-28,1,0
2015-16,2016-29,0,0
2015-16,2016-30,0,0
2015-16,2016-31,0,0
2015-16,2016-32,0,0
2015-16,2016-33,0,0
2015-16,2016-34,0,0
2015-16,2016-35,0,0
2015-16,2016-36,0,0
2015-16,2016-37,0,0
2015-16,2016-38,0,0
2015-16,2016-39,0,0
2016-17,2016-40,0,0
2016-17,2016-41,0,0
2016-17,2016-42,0,0
2016-17,2016-43,0,0
2016-17,2016-44,0,0
2016-17,2016-45,0,0
2016-17,2016-46,0,0
2016-17,2016-47,0,0
2016-17,2016-48,0,1
2016-17,2016-49,0,1
2016-17,2016-50,0,1
2016-17,2016-51,0,4
2016-17,2016-52,0,1
2016-17,2017-01,0,5
2016-17,2017-02,0,4
2016-17,2017-03,0,4
2016-17,2017-04,0,9
2016-17,2017-05,0,5
2016-17,2017-06,0,8
2016-17,2017-07,0,12
2016-17,2017-08,0,11
2016-17,2017-09,0,1
2016-17,2017-10,0,4
2016-17,2017-11,0,5
2016-17,2017-12,0,3
2016-17,2017-13,0,3
2016-17,2017-14,0,5
2016-17,2017-15,0,10
2016-17,2017-16,0,3
2016-17,2017-17,0,3
2016-17,2017-18,0,1
2016-17,2017-19,0,0
2016-17,2017-20,0,1
2016-17,2017-21,0,2
2016-17,2017-22,0,0
2016-17,2017-23,0,1
2016-17,2017-24,0,0
2016-17,2017-25,0,0
2016-17,2017-26,0,0
2016-17,2017-27,0,0
2016-17,2017-28,0,0
2016-17,2017-29,0,0
2016-17,2017-30,0,0
2016-17,2017-31,0,0
2016-17,2017-32,0,0
2016-17,2017-33,0,1
2016-17,2017-34,0,0
2016-17,2017-35,0,1
2016-17,2017-36,0,0
2016-17,2017-37,0,0
2016-17,2017-38,0,0
2016-17,2017-39,0,0
2017-18,2017-40,0,0
2017-18,2017-41,0,0
2017-18,2017-42,0,1
2017-18,2017-43,0,0
2017-18,2017-44,0,3
2017-18,2017-45,0,3
2017-18,2017-46,0,2
2017-18,2017-47,0,1
2017-18,2017-48,0,0
2017-18,2017-49,0,0
2017-18,2017-50,0,3
2017-18,2017-51,0,6
2017-18,2017-52,0,4
2017-18,2018-01,2,9
2017-18,2018-02,1,4
2017-18,2018-03,7,1
2017-18,2018-04,6,0
